"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"C1QTNF4",0,1.08666297478417,0.902,0.309,0,"0","C1QTNF4"
"VPREB1",0,0.74705351647498,0.986,0.502,0,"0","VPREB1"
"PDLIM1",0,0.712949486099645,0.95,0.483,0,"0","PDLIM1"
"ID3",0,0.71222436152081,0.919,0.421,0,"0","ID3"
"CD99",0,0.701140422942853,0.976,0.767,0,"0","CD99"
"AL713998.1",0,0.697131230781033,0.978,0.481,0,"0","AL713998.1"
"CD27",0,0.680569929903144,0.76,0.301,0,"0","CD27"
"TCL1A",0,0.680529017575264,0.991,0.512,0,"0","TCL1A"
"SOX4",0,0.667769041013579,0.992,0.525,0,"0","SOX4"
"SNHG7",0,0.651477019818331,0.965,0.575,0,"0","SNHG7"
"CMTM8",0,0.649105041710956,0.937,0.42,0,"0","CMTM8"
"ARMH1",0,0.64849150648785,0.991,0.528,0,"0","ARMH1"
"LCN6",0,0.635071196664591,0.781,0.294,0,"0","LCN6"
"LEF1",0,0.633273553706004,0.96,0.49,0,"0","LEF1"
"RPLP0",0,0.632364749933974,0.999,0.902,0,"0","RPLP0"
"POU2F2",0,0.618380565674922,0.846,0.391,0,"0","POU2F2"
"LRMP",0,0.616606518543803,0.881,0.435,0,"0","LRMP"
"CD79A",0,0.611781819036691,0.989,0.531,0,"0","CD79A"
"CXorf21",0,0.607862513390053,0.76,0.312,0,"0","CXorf21"
"COL6A3",0,0.603516510234713,0.76,0.266,0,"0","COL6A3"
"S100A13",0,0.601630800318385,0.867,0.391,0,"0","S100A13"
"GYPC",0,0.586821888738685,0.963,0.68,0,"0","GYPC"
"DDIT4",0,0.580848333102367,0.92,0.547,0,"0","DDIT4"
"TCL1B",0,0.571229054885886,0.979,0.497,0,"0","TCL1B"
"AC084033.3",0,0.552799316549139,0.88,0.432,0,"0","AC084033.3"
"TKT",0,0.545020544090612,0.974,0.666,0,"0","TKT"
"CLEC11A",0,0.538015687754535,0.864,0.391,0,"0","CLEC11A"
"ZCCHC7",0,0.533999912170823,0.946,0.55,0,"0","ZCCHC7"
"RPS5",0,0.524633767430605,0.999,0.907,0,"0","RPS5"
"LRRFIP1",0,0.51951400893879,0.987,0.788,0,"0","LRRFIP1"
"RPS9",0,0.519045065253687,1,0.941,0,"0","RPS9"
"RPL18A",0,0.512487939255655,1,0.931,0,"0","RPL18A"
"RPS4X",0,0.512404230694255,1,0.94,0,"0","RPS4X"
"NT5E",0,0.505137017918664,0.658,0.219,0,"0","NT5E"
"NOP53",0,0.500123379991448,0.998,0.816,0,"0","NOP53"
"CD82",0,0.491517532569179,0.728,0.294,0,"0","CD82"
"RACK1",0,0.490166908432799,1,0.919,0,"0","RACK1"
"EEF1A1",0,0.489746592651361,1,0.967,0,"0","EEF1A1"
"LINC01013",0,0.489021489238037,0.807,0.356,0,"0","LINC01013"
"LYL1",0,0.486227414252193,0.81,0.398,0,"0","LYL1"
"CD34",0,0.484762367598893,0.857,0.369,0,"0","CD34"
"RPS2",0,0.482284293178535,1,0.942,0,"0","RPS2"
"RPL5",0,0.478303865589506,1,0.925,0,"0","RPL5"
"RAB13",0,0.472744873783009,0.693,0.285,0,"0","RAB13"
"EEF2",0,0.471927934427649,0.993,0.829,0,"0","EEF2"
"LAPTM5",0,0.46327702759256,0.997,0.81,0,"0","LAPTM5"
"EMP1",0,0.457231443052105,0.381,0.07,0,"0","EMP1"
"ECM1",0,0.455875363297615,0.684,0.269,0,"0","ECM1"
"GSN",0,0.455146956444771,0.848,0.411,0,"0","GSN"
"RPSA",0,0.446643578485558,1,0.92,0,"0","RPSA"
"HVCN1",0,0.441747332451069,0.721,0.298,0,"0","HVCN1"
"RPL10",0,0.431279296454927,1,0.946,0,"0","RPL10"
"RPL29",0,0.427321235191066,1,0.931,0,"0","RPL29"
"RPL10A",0,0.425094612523551,0.999,0.908,0,"0","RPL10A"
"RPLP1",0,0.419804337581048,1,0.97,0,"0","RPLP1"
"RPS12",0,0.414353354998009,1,0.959,0,"0","RPS12"
"RPS8",0,0.410311959659488,1,0.948,0,"0","RPS8"
"RPS3",0,0.406732716166253,1,0.939,0,"0","RPS3"
"RPS23",0,0.404939024143108,1,0.945,0,"0","RPS23"
"RPS13",0,0.403193247966541,1,0.935,0,"0","RPS13"
"TPT1",0,0.39972267466799,1,0.989,0,"0","TPT1"
"RPS3A",0,0.397263072315677,1,0.946,0,"0","RPS3A"
"BTF3",0,0.397185013933059,0.998,0.889,0,"0","BTF3"
"RPS19",0,0.393178886728955,1,0.937,0,"0","RPS19"
"RPS18",0,0.389698848132029,1,0.936,0,"0","RPS18"
"RPL13",0,0.386582634282044,1,0.958,0,"0","RPL13"
"RPL7A",0,0.37396537412567,1,0.937,0,"0","RPL7A"
"RPS24",0,0.370819374048348,1,0.959,0,"0","RPS24"
"RPL7",0,0.368226797788413,0.999,0.941,0,"0","RPL7"
"RPL18",0,0.36488876444859,1,0.933,0,"0","RPL18"
"RPL15",0,0.341605863907875,1,0.939,0,"0","RPL15"
"RPL28",0,0.326207596178742,1,0.971,0,"0","RPL28"
