"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"BAALC",1.84451253121006e-300,0.300886431635544,0.286,0.049,3.76741684499654e-296,"0","BAALC"
"SPACA9",2.779081903009e-244,0.270328262024997,0.344,0.089,5.67627478689588e-240,"0","SPACA9"
"DENND6B",8.21902580246287e-235,0.29417793309,0.394,0.12,1.67873602015304e-230,"0","DENND6B"
"NRXN3",5.25612328223871e-185,0.257294319706208,0.389,0.133,1.07356318039726e-180,"0","NRXN3"
"PTPN14",2.79786474227831e-171,0.253251641382793,0.287,0.084,5.71463873610345e-167,"0","PTPN14"
"SYT1",5.54201649717308e-166,0.254421051222075,0.347,0.12,1.1319568695476e-161,"0","SYT1"
"SLAIN1",1.36622577368456e-157,0.251531533794761,0.409,0.166,2.79051614275071e-153,"0","SLAIN1"
"IGLC7",0,0.98398419882388,0.275,0.021,0,"1","IGLC7"
"AL118556.1",0,0.871170086693016,0.603,0.092,0,"1","AL118556.1"
"P4HA2",0,0.704174538429152,0.511,0.085,0,"1","P4HA2"
"AL132996.1",0,0.610382702000076,0.39,0.034,0,"1","AL132996.1"
"TEX41",0,0.372471304736814,0.262,0.034,0,"1","TEX41"
"LINC01133",7.89415349386336e-290,0.518521868565389,0.45,0.139,1.61238085112159e-285,"1","LINC01133"
"RUBCNL",1.55604561564679e-238,0.443627773792821,0.41,0.134,3.17822316995856e-234,"1","RUBCNL"
"CNR2",1.57423999955121e-238,0.427925437130253,0.423,0.14,3.21538519908335e-234,"1","CNR2"
"RIMS3",9.55045049345692e-194,0.380177394693648,0.319,0.093,1.95067951328858e-189,"1","RIMS3"
"C16orf74",3.77327261543011e-191,0.387640681058604,0.274,0.071,7.70690931701599e-187,"1","C16orf74"
"AL139020.1",3.6815536266499e-188,0.441781912384544,0.385,0.139,7.51957328243243e-184,"1","AL139020.1"
"PPP1R14A",3.9521972650146e-185,0.434881670542569,0.302,0.09,8.07236291379233e-181,"1","PPP1R14A"
"N4BP3",2.03386834958331e-183,0.305997329752793,0.277,0.075,4.15417610402391e-179,"1","N4BP3"
"ZNF296",8.85423223174361e-176,0.373127498081901,0.37,0.137,1.80847693333363e-171,"1","ZNF296"
"CLN8",4.36142902290852e-173,0.411913931979102,0.414,0.172,8.90821877929066e-169,"1","CLN8"
"AP001059.2",1.48074184972315e-155,0.314770401766738,0.301,0.1,3.02441522805953e-151,"1","AP001059.2"
"IKZF2",1.57538960837833e-153,0.390966502732004,0.416,0.177,3.21773327511274e-149,"1","IKZF2"
"ABCA1",5.04879959780164e-153,0.322332651088168,0.372,0.144,1.03121731785098e-148,"1","ABCA1"
